requestId,timestamp,duration,billedDuration
c56cbe65-bc14-4e76-8f36-ac70d396e68f,2019-05-07 01:12:11.303,5771.12,5800
493ce001-d283-48f3-9638-b981677f0b3e,2019-05-07 01:12:13.403,1023.07,1100
c47a1077-025d-418b-956f-5f3e671ac8b8,2019-05-07 01:12:14.744,257.48,300
291e319a-244e-4257-9dca-efee3aa19a57,2019-05-07 01:12:17.324,1495.01,1500
0f6b69c1-5ef8-49b3-88c0-7c9bf0860c03,2019-05-07 01:12:19.242,833.67,900
e34e23bf-2c41-4c96-95c1-e8cb9d22ba50,2019-05-07 01:12:20.803,471.37,500
90f04eda-7b59-47d1-bd0c-10f1747d9fd0,2019-05-07 01:12:23.042,1122.27,1200
da11460d-53b7-4f2a-b3a4-33076096b7c8,2019-05-07 01:12:25.562,1432.04,1500
477c177b-575f-4006-a9fb-0c32bbe67180,2019-05-07 01:12:27.066,345.55,400
b2ddc091-82c9-49a9-a163-71dff235b004,2019-05-07 01:12:28.223,79.23,100
54b367ae-5981-4e36-bee7-93b627d785d6,2019-05-07 01:12:29.504,183.17,200
7fae7788-d92f-4e74-95f0-d44e30472c29,2019-05-07 01:12:30.723,135.29,200
a2e0bf2c-ebe2-4aa1-bcf1-2bbdbe91d68c,2019-05-07 01:12:32.645,838.47,900
f894b5fb-9f69-4e6e-bd23-ef8ce698518b,2019-05-07 01:12:34.482,740.3,800
1323bdd1-439e-413d-b316-c30821fa3a22,2019-05-07 01:12:36.862,1315.46,1400
97de25c9-f63f-4b02-930f-283d528a6b6f,2019-05-07 01:12:38.142,174.51,200
8b799d12-5eec-4b95-b722-9a2bde824e1f,2019-05-07 01:12:39.902,679.29,700
04692312-9f74-48fe-b650-2c0dd49a60e0,2019-05-07 01:12:41.182,199.55,200
4de7c350-6275-4b0e-8f49-0fec3661da25,2019-05-07 01:12:42.347,85.08,100
2cf5a8c1-1c86-439c-a275-97a78138928c,2019-05-07 01:12:43.783,349.2,400
52a97d5e-2b8a-40df-a778-3ab2c7781bee,2019-05-07 01:12:45.643,774.27,800
ee2463ae-449b-47cb-b0c8-9fdab0d88fea,2019-05-07 01:12:46.784,54.12,100
23a91f5e-7c6b-4bdc-a36e-90dbb2e91584,2019-05-07 01:12:48.303,429.45,500
b5ff59ca-6dab-4a45-b99d-58e8def88b22,2019-05-07 01:12:50.122,718.89,800
7a30a0ef-275c-4616-b039-6849824451a1,2019-05-07 01:12:52.242,1032.25,1100
082ef2d3-6183-4c5e-bd10-3e78d8bdd3bb,2019-05-07 01:12:54.122,801.87,900
930d3cfc-a7c0-4035-8aa2-2988430be002,2019-05-07 01:12:55.762,536.71,600
5bdb5788-958f-4931-bd59-ecf36f7a9a22,2019-05-07 01:12:57.022,195.63,200
a9bc549f-333f-43ad-a3d4-bfbf2a758db4,2019-05-07 01:12:59.222,1125.71,1200
d0e91103-162e-447c-a5bf-602e879863a8,2019-05-07 01:13:01.606,1309.57,1400
62b4bab7-af84-4f1f-a8ac-0cab4b8cbd53,2019-05-07 01:13:03.103,416.82,500
5a289a23-a36e-466a-a23c-b5b573ab2550,2019-05-07 01:13:04.410,178.58,200
db005e61-bf96-468d-afe0-de66ab9537e6,2019-05-07 01:13:06.383,915.44,1000
bda01177-ac21-4318-8291-deeda09b7d41,2019-05-07 01:13:08.565,1094.77,1100
7396bcba-78c4-42ac-afa8-56b7f6427711,2019-05-07 01:13:09.944,290.21,300
6cd05ddd-079b-403a-8e3f-c7a31e36a9fd,2019-05-07 01:13:11.384,208.56,300
a5c928b4-7c30-494d-931c-3cfd1a12cb97,2019-05-07 01:13:13.362,897.14,900
7298bb29-132c-4155-bb30-1d490937c76a,2019-05-07 01:13:15.162,689.93,700
b4a91c21-79b9-4eb6-82e2-94dcb735e193,2019-05-07 01:13:16.603,363.65,400
0b86771e-6042-4832-81cf-884b73be91e8,2019-05-07 01:13:18.784,1076.41,1100
70d5a8d7-1a9e-44db-8b47-114a4208030a,2019-05-07 01:13:20.223,341.64,400
bf10fa56-4808-46b0-94fb-65b7db1057eb,2019-05-07 01:13:22.166,857.23,900
d3a8a07e-af45-4474-9096-8880f5e70b88,2019-05-07 01:13:24.122,858.9,900
ff9b23cb-00a1-40f5-9c95-f747ccb45f21,2019-05-07 01:13:25.244,56.92,100
64d1bcde-15fb-46cb-afac-f0b82859f13e,2019-05-07 01:13:26.404,80.08,100
5eafdf88-5037-4dc8-b724-2d4a81a68aa9,2019-05-07 01:13:27.584,98.33,100
25609242-8808-45d3-ac21-758f752059d7,2019-05-07 01:13:29.702,1024.36,1100
88b0f415-9676-427b-820b-f8a6860d4585,2019-05-07 01:13:31.822,1053.4,1100
4ef0c7ad-7d37-4201-b4fa-65acb140ef6e,2019-05-07 01:13:33.502,584.39,600
0fd45fe3-172d-4ef5-9270-489bfdb657e8,2019-05-07 01:13:34.863,291.88,300
84642333-722a-432f-8293-113a6aa8ebe5,2019-05-07 01:13:36.085,138.68,200
c226bec4-3913-4ee0-a824-20078210aa89,2019-05-07 01:13:37.883,719.32,800
3664c012-6d05-4902-8b51-95696fad3743,2019-05-07 01:13:39.505,540.59,600
9f9c451b-b609-4582-b6f4-31e78bfb87fd,2019-05-07 01:13:42.027,1440.54,1500
84b306e0-4dff-4638-9ed5-2ae7bd7aa5d6,2019-05-07 01:13:44.384,1278.17,1300
8845cf9d-b711-4db6-a486-809f4d8d83fc,2019-05-07 01:13:45.542,79.81,100
bc247b80-8abb-46c5-b4ff-b8d801039f5a,2019-05-07 01:13:46.862,228.22,300
2c3b61bd-76ef-4281-9973-38f45efcc605,2019-05-07 01:13:48.902,955.2,1000
b87ce675-3e58-4b19-91a5-135ce79b9a30,2019-05-07 01:13:50.906,936.54,1000
075d0d4a-b15c-4f15-b1b9-7a66a6b8a41a,2019-05-07 01:13:52.223,230.72,300
d600db0c-c66c-416e-bc62-3154e2e5557c,2019-05-07 01:13:53.425,122.62,200
9d144e88-e2ca-4d61-936a-bc0d5b35a146,2019-05-07 01:13:54.763,262.46,300
a10a9bbf-db21-4c0c-b820-7d56de3f5348,2019-05-07 01:13:56.222,363.35,400
552b0373-27e4-41eb-a527-065eb16ed98b,2019-05-07 01:13:57.384,104.66,200
86986596-d515-49d3-81c5-bf72f9a946fb,2019-05-07 01:13:59.923,1461.92,1500
3a478bb2-43c4-4875-a964-3c941508873a,2019-05-07 01:14:01.722,717.1,800
4d42be76-d6b2-424a-8188-69cfbdde9d9f,2019-05-07 01:14:03.422,595.11,600
d5de0651-e8d4-45b3-8c99-b85fa786d967,2019-05-07 01:14:04.703,203.2,300
9b92b566-b15b-4d59-8893-25acb3c4dd47,2019-05-07 01:14:06.283,492.88,500
a3eb5c3b-f9be-4f2c-a9ac-aa377a513980,2019-05-07 01:14:07.482,100.06,200
03004a18-5b25-40f3-90ae-a0e644336288,2019-05-07 01:14:09.582,1017.63,1100
5363d6e9-a3d5-4272-8923-37dd563d2ec1,2019-05-07 01:14:11.944,1301.11,1400
c6ced0f5-a96f-4f14-9e48-aae7838ebc5c,2019-05-07 01:14:14.183,1153.54,1200
9c915ea2-cc7e-47d2-b615-e38bf7556b9f,2019-05-07 01:14:15.362,81.54,100
6e8eca7d-1f09-421f-a983-e9eb4f694aaa,2019-05-07 01:14:16.864,418.86,500
a8d9daa2-fbc3-4c58-9371-1a3a21e8dc53,2019-05-07 01:14:18.022,58.96,100
95c8a289-afad-45f8-940e-54009eff9e54,2019-05-07 01:14:20.186,1083.09,1100
b34a1d95-01b6-47b0-97c0-5b500962e00f,2019-05-07 01:14:22.442,1128.93,1200
def24fa4-1c9d-412e-8a15-0fc9dfab6c24,2019-05-07 01:14:24.402,856.45,900
b630206e-c9e4-43c4-b389-16a7e493b0a6,2019-05-07 01:14:26.384,911.17,1000
243c3858-a658-4f1a-8cbb-6c5f744905a0,2019-05-07 01:14:29.292,1748.48,1800
b1e42eba-cc95-4f86-ad1e-25541b9e2ef6,2019-05-07 01:14:32.142,1768.09,1800
9e3fc1a3-8a0c-4b55-9d4e-00d6f936af1e,2019-05-07 01:14:34.202,981.86,1000
5d4672e4-ae15-4d4c-9ce3-de13c67aad8d,2019-05-07 01:14:35.742,456.5,500
8dbb7952-34fc-43aa-a7eb-83832c751ab7,2019-05-07 01:14:36.942,124.3,200
83b6c1a8-178d-4026-ab52-2b6519a3581e,2019-05-07 01:14:38.902,875.27,900
81993fac-d6de-482b-8a7e-b2e9282bb864,2019-05-07 01:14:40.162,169.25,200
b309cac6-946c-4059-8c4e-b59c4e54cb16,2019-05-07 01:14:41.424,201.74,300
1b073948-4ac9-442d-854c-04555bd33256,2019-05-07 01:14:42.745,240.45,300
12a66ccc-8faf-4fe8-a4ca-594737c90579,2019-05-07 01:14:45.642,1817.5,1900
375bd9cb-269c-4935-98cc-984c5e356a72,2019-05-07 01:14:48.062,1329.34,1400
35b9472e-3c6b-402a-9f81-bfdff854a256,2019-05-07 01:14:49.262,112.17,200
055acafe-365d-4588-9622-dc9c3da72544,2019-05-07 01:14:51.723,1401.39,1500
70d7e44a-545b-435c-9128-6e973c2bc56d,2019-05-07 01:14:53.642,817.96,900
e6a6d44d-1c90-4411-85b7-722130139e39,2019-05-07 01:14:55.242,515.52,600
a0851c59-6c5d-40d8-a001-541eb5a27260,2019-05-07 01:14:57.322,990.28,1000
f206ad4f-843f-487c-aea6-20d669fb9b1d,2019-05-07 01:14:59.422,1018.6,1100
d84bd35e-00f5-4228-92e9-e1fda8d384eb,2019-05-07 01:15:01.623,1120.98,1200
666758bb-7c8b-4bde-a69f-b0dc1b625131,2019-05-07 01:15:02.962,225.02,300
1dd5ea78-81b0-4fc3-820d-cec49a238374,2019-05-07 01:15:04.162,120.69,200
3f9377a1-5cd4-4fc1-8554-3e5d6edd08d2,2019-05-07 01:15:06.805,1570.39,1600
e9298ad9-ef3b-41a8-8471-f7430b9ee886,2019-05-07 01:15:08.405,512.36,600
5146ffed-e0dc-48b0-86c1-f1ed22e0abf2,2019-05-07 01:15:09.723,217.68,300
058379f2-8eaf-4683-8f8a-68515012c05f,2019-05-07 01:15:11.144,343.25,400
56a0195a-8d2f-4baa-94ab-50ece7ee07ff,2019-05-07 01:15:12.562,304.03,400
54fa19ae-6d35-4996-a84a-7c4a376f1bf3,2019-05-07 01:15:15.083,1456.14,1500
60397585-9207-4cbf-a492-1c2592317554,2019-05-07 01:15:17.606,1427.76,1500
ae0c23c4-bdf3-4ba3-b2e6-e97b4bd7443c,2019-05-07 01:15:19.262,563.49,600
22441d0c-2aaf-4b45-971d-fb20ef5b7947,2019-05-07 01:15:21.083,758.28,800
4320e57f-d4e6-4e58-a504-0517cd1e1643,2019-05-07 01:15:23.543,1374.46,1400
0df80a91-3d99-4bd1-9f3c-02ab331d6188,2019-05-07 01:15:25.302,655.15,700
