requestId,timestamp,duration,billedDuration
56b9e7a9-ff8a-4a6d-bc86-c51dfb601294,2019-05-10 03:34:14.081,4117.18,4200
f745005d-8d42-4ebf-9005-71cd7abc9a0e,2019-05-10 03:34:15.820,628.11,700
68f73f6f-5633-405b-ae5f-1ba6456d6bf6,2019-05-10 03:34:17.321,431.26,500
39397542-63ca-4761-9050-8ee2b3fa73c0,2019-05-10 03:34:19.862,1432.01,1500
fa735a76-b3f1-48ed-85c4-2825e497b99b,2019-05-10 03:34:21.008,59.59,100
61423165-177b-45b6-b74c-eb75bef60ff8,2019-05-10 03:34:23.342,1253.51,1300
4872b264-054c-4d05-8a89-1a0be3ae20a9,2019-05-10 03:34:25.102,671.58,700
6e94b4b3-2947-4ed9-9dad-436beede3e4b,2019-05-10 03:34:27.343,1142.91,1200
02f92514-774b-4d77-8d68-44e6f8b2abe9,2019-05-10 03:34:29.242,810.93,900
5d80ab4f-49b7-4efc-aa1a-daafdb604e8d,2019-05-10 03:34:31.340,998.79,1000
ac5aa4ae-b5bc-448e-ba5a-0c2f80e133ce,2019-05-10 03:34:33.760,1323.93,1400
c6fba1f6-aa43-49d3-8feb-e5349cb9d8a2,2019-05-10 03:34:36.083,1251.91,1300
212f69ec-173a-4d24-b22f-8da6b111ae4d,2019-05-10 03:34:37.502,333.38,400
0003284d-ccf6-4a7c-9fdf-0f89ca40b802,2019-05-10 03:34:38.700,95.16,100
d8b4a5c0-c252-4d9f-b321-f0840076a365,2019-05-10 03:34:40.163,381.01,400
94f02242-1ac6-4f71-bd78-bdee97eb915a,2019-05-10 03:34:41.342,93.89,100
91f835ae-c175-4e45-abf0-26df3274f72c,2019-05-10 03:34:43.541,1110.18,1200
be5857da-cf78-4a44-9115-0fab00e268cb,2019-05-10 03:34:44.922,249.28,300
d6261f1c-2d34-4f92-bf63-0beee5abde8c,2019-05-10 03:34:46.221,216.71,300
7c400777-4581-4add-aed1-bd71939be2f3,2019-05-10 03:34:48.382,1084.14,1100
0e9cdf00-65fb-4c6c-a4f0-138d0051dca9,2019-05-10 03:34:49.561,85.41,100
bcdf42a6-b49c-44f9-92df-dd7aa58b2add,2019-05-10 03:34:51.600,933.11,1000
544d5178-a49c-4e5f-ac54-7a8b67600772,2019-05-10 03:34:53.461,787.44,800
c6c94d29-8f65-4ce0-bcf0-b7d2233749d7,2019-05-10 03:34:54.920,366.69,400
7f87c527-3b6a-4758-8bc2-0fd3a31ba375,2019-05-10 03:34:56.821,827.62,900
454962be-636f-4563-9c39-75234a081dec,2019-05-10 03:34:58.040,112.81,200
f26d4fb0-b3c9-43c0-be92-b1079dd9ec4e,2019-05-10 03:35:00.240,1110.7,1200
099cb6e7-f4fe-485f-a29f-6878448c6b04,2019-05-10 03:35:02.421,1116.48,1200
3f5f3cc2-c035-4a46-add5-467442c0a636,2019-05-10 03:35:04.403,883.1,900
