@requestId,@duration,@billedDuration,memory,@timestamp
137c7700-27db-46c1-919a-3762d32af1b4,4240.73,4300,143.0511,2019-04-04 02:36:53.627
2ebc7fef-64f0-4fc7-bd65-9bd2c3406dad,253.66,300,144.0048,2019-04-04 02:55:18.847
0cad5379-b04b-43ba-a979-5a355c551be9,231.4,300,144.0048,2019-04-04 02:55:30.810
fb7a7743-572f-4fd4-889e-d8db3d100f7d,195.82,200,144.0048,2019-04-04 02:55:21.389
27effe64-9796-4eef-950b-e2891e3ff93f,167.39,200,144.9585,2019-04-04 02:56:31.967
acf1b260-7794-405c-9242-7630a0855d3c,149.52,200,144.0048,2019-04-04 02:55:28.407
e35daaa7-14f4-4d8b-a946-0e10bcc66de1,142.93,200,144.0048,2019-04-04 02:55:42.710
17a34b35-6fbc-49cc-ba50-8e5b4a32290e,139.94,200,144.0048,2019-04-04 02:36:58.407
23b1844f-6980-418e-b572-9036e4a21a70,139.22,200,144.0048,2019-04-04 02:55:45.067
38613c49-13a2-46e0-ba81-0e758499832b,138.79,200,144.9585,2019-04-04 02:57:29.172
b511ca31-4585-4b31-8c8b-adb5a1d6b8cf,119.25,200,146.8658,2019-04-04 02:57:45.247
1c3eda65-9091-4083-8c61-d5f01fade400,116.29,200,144.9585,2019-04-04 02:57:40.627
4e335324-e909-457f-a5e6-3f75c3f5944a,115.65,200,145.9122,2019-04-04 02:57:42.847
cb3b1ed0-54f0-4782-847f-839f824d0ee3,109.04,200,144.0048,2019-04-04 02:55:51.767
567f388c-ad7e-42a7-92cb-d64d291a485e,108.66,200,144.0048,2019-04-04 02:55:26.092
6623297c-bfed-4770-98c8-213f3a3f2ed7,104.33,200,144.0048,2019-04-04 02:56:17.208
51246e47-460d-4b3a-9293-9e106fd27d58,102.62,200,146.8658,2019-04-04 02:58:52.050
3878bb9c-bace-41be-82a5-545a9c96b625,101.74,200,144.9585,2019-04-04 02:56:24.917
92e19096-3e77-47f9-b720-f21f42e95d87,101.07,200,144.9585,2019-04-04 02:57:20.168
201d740d-1405-48fa-8079-e2e658047423,99.93,100,144.9585,2019-04-04 02:56:39.469
9f8bb357-dd68-4ee9-8b58-01e17645a6f3,99.19,100,146.8658,2019-04-04 02:57:49.748
8e418f27-9d37-4122-8a25-1ee2dc44310a,97.24,100,146.8658,2019-04-04 02:58:54.529
cbfd11ae-e6bd-43e7-a6ec-0326c6114df3,96.58,100,144.0048,2019-04-04 02:56:03.330
6b352a16-25e8-4f22-a18e-60279826bed6,93.42,100,146.8658,2019-04-04 02:58:31.568
666c3a24-cdce-4ce9-8fcb-222378dc7f92,91.69,100,144.0048,2019-04-04 02:55:23.827
ffd2a2d3-d073-48da-a281-f843d1bea4ea,91.67,100,146.8658,2019-04-04 02:58:10.489
90329d43-b374-4df6-9fa2-146219832f97,91.16,100,144.9585,2019-04-04 02:57:09.987
aa236db9-a25a-4b33-8cda-9f05bd21b907,90.35,100,144.0048,2019-04-04 02:55:35.809
5c3e2053-0323-4f22-9f9c-cb91314beed7,90.06,100,144.9585,2019-04-04 02:56:34.889
