@requestId,@timestamp,@duration,@billedDuration
4455b79e-7fb8-46ac-9b29-d7046d084d5b,2019-05-19 03:12:22.653,7515.3,7600
7ccfcd52-2de6-4f2a-8da1-0ea6ab561d00,2019-05-19 03:12:26.210,2453.19,2500
9493d996-b2c8-4134-9c4a-8acd9db19ce7,2019-05-19 03:12:28.910,1580.29,1600
962ad097-1202-41c8-8633-4a0bb9aeed61,2019-05-19 03:12:33.873,3873.61,3900
4ea4fdca-77ec-4ff7-bc36-1ae4559c8fec,2019-05-19 03:12:38.152,3189.27,3200
de4bc08f-a867-4cca-a8cd-b32a301b03f1,2019-05-19 03:12:41.472,2221.98,2300
215f201e-48b7-4eef-aeb2-ddcc9e021cf3,2019-05-19 03:12:44.593,2027.21,2100
31243464-2e27-462c-8de4-e3b25eba1208,2019-05-19 03:12:47.651,1943.9,2000
1f61aea8-8bd5-485f-af5f-93336e091fcf,2019-05-19 03:12:52.593,3839.81,3900
6fbd7ce7-299b-4605-9b8c-9626b503ef73,2019-05-19 03:12:58.871,5177.14,5200
cfa6661c-6277-4d55-8b98-ba669418957b,2019-05-19 03:13:07.610,7642.16,7700
45325d93-ad09-463d-a513-643a5c8993e0,2019-05-19 03:13:12.311,3598.11,3600
bfec87b4-1951-4dd1-88a1-d4fa3e290fec,2019-05-19 03:13:15.331,1891.83,1900
77f3724b-5223-422e-aa3c-5a50552b2bdb,2019-05-19 03:13:18.672,2264.69,2300
b7f01484-23e2-4a3b-a654-45f156418a9a,2019-05-19 03:13:21.892,2129.66,2200
07c5ffce-d570-4a03-b8aa-6ffaa2f6672d,2019-05-19 03:13:25.074,2083.05,2100
f6bacf23-cc92-4b9b-8aa8-8be0607a2233,2019-05-19 03:13:28.973,2800.74,2900
427ab606-f480-4bfd-8af6-7b83d0fb8b3a,2019-05-19 03:13:35.670,5584.22,5600
2d1c6509-78d7-4fad-8750-a8aeeb9c501d,2019-05-19 03:13:40.333,3588.51,3600
39e56740-9c9b-4c01-8f53-d4df8ffbb51b,2019-05-19 03:13:45.431,3988.7,4000
7e62dbba-86cf-4f7f-ae5e-c39339a921ee,2019-05-19 03:13:51.190,4646.86,4700
1aa1c257-6c6b-4949-bfb5-6b8eef9bc932,2019-05-19 03:13:55.510,3210.8,3300
72fa8c32-fbf9-40a6-a3bd-609b95d38f07,2019-05-19 03:14:03.531,6957.92,7000
0f8d1909-ed2c-4760-97bf-dd1a1b96f5f9,2019-05-19 03:14:07.130,2489.86,2500
