@requestId,@timestamp,@duration,@billedDuration
2ca7d4c7-f34a-400b-900c-66b189719113,2019-05-22 20:09:13.292,6897.91,6900
4a409f5c-f962-4a96-8c9b-174a91a4fe05,2019-05-22 20:09:05.292,8726.67,8800
32dc71a4-1f71-498d-be63-f26353bb5a8e,2019-05-22 20:08:55.478,9292.42,9300
5b7a990c-b1dd-4380-b8dc-847da2102687,2019-05-22 20:08:45.075,9533.42,9600
597e4121-dd79-4780-be7e-8e4ab8ae222e,2019-05-22 20:08:34.454,6461.47,6500
985ceec5-3693-44c2-bf75-c012cd9a92cf,2019-05-22 20:08:26.913,8917.69,9000
080e4b27-f086-4e98-a7f6-f3b37053fe8b,2019-05-22 20:08:16.912,4530.19,4600
677a1e91-9bb4-4c98-9b7a-59a6824b6d56,2019-05-22 20:08:11.252,5235.21,5300
def26024-ec7c-41c6-a30e-e2998ef30d04,2019-05-22 20:08:04.932,6354.66,6400
fe9fc233-2af4-4b78-bbbf-5f59012ba33d,2019-05-22 20:07:57.475,9311.59,9400
fc68c837-b721-4160-a7fb-0338e344ab2d,2019-05-22 20:07:47.076,6687.45,6700
48d6afbf-8ebc-494a-951e-df33d735f352,2019-05-22 20:07:39.254,4516.44,4600
9e658f04-bc3a-4b1e-8f45-abeb7429b486,2019-05-22 20:07:33.655,9218.42,9300
f00eed99-191e-42ed-b99b-78bac2cd36a6,2019-05-22 20:07:23.333,8363.15,8400
1aa3224a-3940-4d16-a56f-db4140b57dd1,2019-05-22 20:07:13.733,9345.57,9400
eca8bd1b-b2fc-4ffa-963c-517d5f20d3bf,2019-05-22 20:07:03.312,9174.33,9200
3abc6066-46bf-44be-ac92-29f612d18b0a,2019-05-22 20:06:53.052,9516.88,9600
3a0a9770-e89a-4ceb-a088-fa6886c575d0,2019-05-22 20:06:42.435,8508.96,8600
00c030e7-f5fb-4dcb-a39a-c731f52a2f2e,2019-05-22 20:06:32.832,3996.01,4000
0b5794b3-9470-423c-911e-357f1f739ec8,2019-05-22 20:06:27.736,4661.46,4700
511a87d5-1e18-4490-85f0-622842a349bd,2019-05-22 20:06:21.973,8918.96,9000
f4d73a62-b684-4cd6-9651-ec7b5546a49c,2019-05-22 20:06:11.972,5054.76,5100
ff970fef-7678-4e64-8dcd-c1b9768a8a8f,2019-05-22 20:06:05.794,8774.85,8800
b160f671-319c-47cb-b21b-55ebff9abc36,2019-05-22 20:05:55.936,8594.89,8600
6cf02da5-052c-4724-96b1-2181113e6615,2019-05-22 20:05:46.272,6741.2,6800
618ea0e8-ce26-426f-8a23-e9da53e3b526,2019-05-22 20:05:38.393,8393.52,8400
68984db6-578b-4c8a-9878-bd5398ffa25f,2019-05-22 20:05:28.915,4452.19,4500
178dbd37-ffae-49b3-b1a0-a49137a933f2,2019-05-22 20:05:23.375,9590.89,9600
8aecfc7d-cb8a-4dce-98dd-b9bcd1f416c4,2019-05-22 20:05:12.712,6816.08,6900
821a124f-41d5-42cd-94bb-732296812d4b,2019-05-22 20:05:04.794,6191.87,6200
2ab50056-db1e-4bfc-9c9e-0b86a62a8bd9,2019-05-22 20:04:57.455,6753.27,6800
c0064f66-a120-4032-b175-640994a6dbee,2019-05-22 20:04:49.613,9624.94,9700
64a12cda-f68b-4f8a-980e-d40ab0994650,2019-05-22 20:04:38.876,8134.67,8200
d8b68355-c978-4e06-86b8-9e13cf04eaed,2019-05-22 20:04:29.672,9447.64,9500
9851f10e-b926-4c5e-bf11-63ba291e3a70,2019-05-22 20:04:19.114,8950.93,9000
056806e3-fc71-49dd-b77b-ae1754570f69,2019-05-22 20:04:09.054,7220.15,7300
d754c6f5-2ce7-402d-8022-bb4aca0011c3,2019-05-22 20:04:00.752,8238.7,8300
c622aacf-cc20-45ff-947e-33c1ec8c004f,2019-05-22 20:03:51.412,5985.25,6000
1e9590b7-fcf5-4765-b5d5-61259f4b042c,2019-05-22 20:03:44.335,4177.8,4200
4ab6d470-6833-48ac-a608-069e77b488c6,2019-05-22 20:03:39.052,8551.74,8600
c7d15d23-eb2d-4bc1-88f2-9b66319cef0d,2019-05-22 20:03:29.416,4617.93,4700
3b583d26-06ac-43b7-a157-0c1596114e4d,2019-05-22 20:03:23.714,4118.68,4200
d7818d26-66fc-450b-af83-fa8b569fe820,2019-05-22 20:03:18.512,7622.94,7700
d74f7a3f-01bf-4739-a58b-62babc4039e8,2019-05-22 20:03:09.812,6287.51,6300
69a8fb29-11d1-47e3-8686-d5fa98f603bd,2019-05-22 20:03:02.412,8688.27,8700
5762851d-83e5-461b-a150-135150fe518e,2019-05-22 20:02:52.636,4777.02,4800
4e7a90bf-faa1-4f46-aa6d-a30641466ee5,2019-05-22 20:02:46.714,8245.84,8300
6ad82cb0-9407-46e8-b9dc-241068137e4a,2019-05-22 20:02:37.392,7429.06,7500
72083f5e-fcbc-4d93-9ce4-40fad1d02a77,2019-05-22 20:02:28.854,4307.33,4400
1a35a90a-65d8-4fac-bc1f-4a4086dad53a,2019-05-22 20:02:23.434,4497.19,4500
925c93fd-2724-447a-b2a4-a104529192da,2019-05-22 20:02:17.872,4388.06,4400
46fb3454-08c1-4c67-a101-9830aa0f167b,2019-05-22 20:02:12.392,8118.59,8200
595bd67f-6dea-4087-a42f-2f5565c801ac,2019-05-22 20:02:03.192,9339.84,9400
80c198ea-9a22-47b0-9674-307802791696,2019-05-22 20:01:52.753,4961.53,5000
c8c6fe19-bb01-40a6-a3ac-c0e0b279615e,2019-05-22 20:01:46.692,6787.51,6800
7bf10424-fdc0-4482-a6fc-af1ed0ab8de3,2019-05-22 20:01:38.832,6253.69,6300
adec9726-84cb-4ab1-bba6-a45ade3f7e7e,2019-05-22 20:01:31.492,9566.63,9600
bb7ffc92-9869-43b0-806e-529e7dda737f,2019-05-22 20:01:20.815,8847.92,8900
d0e2b390-7cb6-47be-81c8-fe8cc45e9f01,2019-05-22 20:01:10.872,8094.12,8100
06f2093c-655f-44f1-b7cc-3b1f1b7e1f85,2019-05-22 20:01:01.692,8582.76,8600
0028a4c7-9229-4327-aba5-9204e91791d2,2019-05-22 20:00:52.013,9128.25,9200
ef95ab07-d088-4dad-968b-b91d44369740,2019-05-22 20:00:41.794,4209.61,4300
6d994776-687f-4c98-aeee-78bf5a14c7ad,2019-05-22 20:00:36.494,8324.89,8400
0fccb8d1-7e8e-4589-acb5-007999a708f2,2019-05-22 20:00:27.075,8525.69,8600
b53f5a2f-87e7-4e37-b541-18b7d0862b43,2019-05-22 20:00:17.472,9256.04,9300
5af91602-aee0-45cd-a31a-ac1ac518595f,2019-05-22 20:00:07.094,9265,9300
464a3f1b-289c-493a-a2eb-fd31db3ee5ad,2019-05-22 19:59:56.733,5931.31,6000
cc7c8b7a-aa84-464b-bd9f-25b429b62bb3,2019-05-22 19:59:49.714,9190.69,9200
e30c64ab-0f72-45a5-8a69-9ce172d704b2,2019-05-22 19:59:39.394,4516.23,4600
ddbbf633-8e10-463d-87db-382c54280964,2019-05-22 19:59:33.792,8241.32,8300
81f90126-9944-4873-978d-ac86ae63e318,2019-05-22 19:59:24.436,9570.53,9600
9e495a4e-c0df-49be-9f6d-d6943b4d0999,2019-05-22 19:59:13.772,4601.43,4700
dd03a471-8a3f-42cb-9374-8dcbaa5d82c9,2019-05-22 19:59:08.054,9184.29,9200
e38f1047-3acf-4e48-9929-449e5bc3774e,2019-05-22 19:58:57.792,9278.98,9300
3a6b8c52-0560-4398-827d-9a9d1a192223,2019-05-22 19:58:47.412,7009.78,7100
18468cd8-9767-47bc-ad3b-5e475d31a9c1,2019-05-22 19:58:39.234,8488.77,8500
ae1c6821-8056-4ad5-a19e-5865cc09b07b,2019-05-22 19:58:29.672,9139.37,9200
99ba9778-ecf3-462c-82cd-39a62725ec0c,2019-05-22 19:58:19.432,9287.17,9300
b6211fd4-a838-4362-a77a-d33dd87a2ac9,2019-05-22 19:58:09.032,4524.85,4600
d14306e3-0e6e-4128-a9ea-e30beb1aad73,2019-05-22 19:58:03.432,5053.31,5100
aa0c1b2a-4373-42c3-8fb5-90b2a463c686,2019-05-22 19:57:57.292,9039.36,9100
2530c293-dae6-40b3-b680-78375e104a70,2019-05-22 19:57:47.132,6882.79,6900
06c51eb9-8afd-4c84-b91e-98b4af175517,2019-05-22 19:57:39.155,5222.23,5300
3ebf0be3-8edd-462e-8703-fc1b12092bf9,2019-05-22 19:57:32.815,5072.65,5100
37b27b44-c8b5-47fa-944b-660b5686397b,2019-05-22 19:57:26.653,9231.22,9300
1903dd61-e684-494f-8ed7-d791289f95cd,2019-05-22 19:57:16.334,9439.13,9500
2d9bc986-ff4b-4824-855b-7419bdbd2cc0,2019-05-22 19:57:05.795,8471.1,8500
